STATcube

"Deceased (ABO Q)"
"Year under review and Todesursachen ICD/10 Version 2013 - 3-Steller - Verletzungen by Deceased"
"Counting: Deceased"

,"Counting","Deceased","Deceased - Annotations",
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Transportmittelunfall ohne Zusammenstoß verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,,
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit Fahrrad verletzt",-,,
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,,
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,"ABO",
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,"ABO",
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,"ABO",
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,"ABO",
,"Benutzer eines Personenkraftwagens bei Transportmittelunfall ohne Zusammenstoß verletzt",-,"ABO",
,"Benutzer eines Personenkraftwagens bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,"ABO",
,"Benutzer eines Lieferwagens bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit Fahrrad verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,"ABO",
,"Benutzer eines Lieferwagens bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,,
,"Benutzer eines Lieferwagens bei Transportmittelunfall ohne Zusammenstoß verletzt",-,,
,"Benutzer eines Lieferwagens bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,"ABO",
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit Fahrrad verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,"ABO",
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,"ABO",
,"Benutzer eines Lastkraftwagens bei Transportmittelunfall ohne Zusammenstoß verletzt",-,"ABO",
,"Benutzer eines Lastkraftwagens bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit Fahrrad verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,,
,"Autobusbenutzer bei Transportmittelunfall ohne Zusammenstoß verletzt",-,,
,"Autobusbenutzer bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,,
,"Reiter oder Benutzer eines tierbespannten Fahrzeuges bei Transportmittelunfall verletzt",-,"ABO",
,"Benutzer eines Eisenbahnzuges oder Eisenbahnfahrzeuges bei Transportmittelunfall verletzt",-,"ABO",
,"Straßenbahnbenutzer bei Transportmittelunfall verletzt",-,,
,"Benutzer eines vorwiegend auf Betriebsgelände eingesetzten Spezialfahrzeuges bei Transportmittelunfall verletzt",-,,
,"Benutzer eines vorwiegend in der Landwirtschaft eingesetzten Spezialfahrzeuges bei Transportmittelunfall verletzt",-,"ABO",
,"Benutzer eines Baustellen-Spezialfahrzeuges bei Transportmittelunfall verletzt",-,"ABO",
,"Benutzer eines geländegängigen Spezialfahrzeuges oder eines sonstigen vorwiegend für die Benutzung abseits von Straßen vorgesehenen Kraftfahrzeuges bei Transportmittelunfall verletzt",-,,
,"Transportmittelunfall mit näherer Angabe des Unfallherganges, jedoch unbekannter Fortbewegungsart des Unfallopfers",-,,
,"Transportmittelunfall außerhalb des Verkehrs mit näherer Angabe des Unfallherganges, jedoch unbekannter Fortbewegungsart des Unfallopfers",-,,
,"Unfall eines motorisierten oder nichtmotorisierten Fahrzeuges, Fahrzeugtyp nicht näher bezeichnet",-,"ABO",
,"Wasserfahrzeugunfall mit Ertrinken und Untergehen",-,,
,"Wasserfahrzeugunfall mit sonstigen Verletzungen",-,,
,"Ertrinken und Untergehen im Wasserverkehr ohne Unfall des Wasserfahrzeuges",-,,
,"Unfall an Bord eines Wasserfahrzeuges ohne Unfall des Wasserfahrzeuges und ohne Ertrinken und Untergehen",-,,
,"Sonstige und nicht näher bezeichnete Wasserverkehrsunfälle",-,,
,"Unfall eines Luftfahrzeuges mit Kraftantrieb, der eine Verletzung von Insassen verursacht",-,"ABO",
,"Unfall eines Luftfahrzeuges ohne Kraftantrieb mit Verletzung von Insassen",-,"ABO",
,"Sonstige näher bezeichnete Luftverkehrsunfälle",-,,
,"Sonstige näher bezeichnete Transportmittelunfälle",-,"ABO",
,"Nicht näher bezeichneter Transportmittelunfall",-,"ABO",
,"Sturz auf gleicher Ebene bei Eis und Schnee",-,"ABO",
,"Sturz auf gleicher Ebene durch Ausgleiten, Stolpern oder Straucheln",-,"ABO",
,"Sturz bei Benutzung von Schlittschuhen, Skiern, Rollschuhen oder Skateboards",-,"ABO",
,"Sonstiger Sturz auf gleicher Ebene durch Zusammenstoß mit einer anderen Person oder durch Drängen und Stoßen durch eine andere Person",-,,
,"Sturz während des Getragen- oder Gestütztwerdens durch andere Person(en)",-,,
,"Sturz im Zusammenhang mit Rollstuhl",-,"ABO",
,"Sturz im Zusammenhang mit Bett",-,"ABO",
,"Sturz im Zusammenhang mit Stuhl",-,"ABO",
,"Sturz im Zusammenhang mit sonstigem Mobiliar",-,"ABO",
,"Sturz im Zusammenhang mit Spielplatzgerät",-,,
,"Sturz auf oder von Treppen oder Stufen",-,"ABO",
,"Sturz auf oder von Leitern",-,"ABO",
,"Sturz auf oder vom Gerüst",-,"ABO",
,"Sturz von, aus oder durch Gebäude(n) oder Bauwerke(n)",-,"ABO",
,"Sturz vom Baum",-,"ABO",
,"Sturz von Klippe",-,"ABO",
,"Verletzung beim Tauchen oder Sprung ins Wasser ohne Ertrinken oder Untergehen",-,"ABO",
,"Sonstige Stürze von einer Ebene auf eine andere",-,"ABO",
,"Sonstige Stürze auf gleicher Ebene",-,"ABO",
,"Nicht näher bezeichneter Sturz",-,"ABO",
,"Unfall durch geworfenen, geschleuderten oder fallenden Gegenstand",-,"ABO",
,"Unfall durch Stoß gegen oder Getroffenwerden von Sportgerät",-,"ABO",
,"Unfall durch Stoß gegen oder Getroffenwerden von sonstige(n) Gegenstände(n)",-,,
,"Unfall durch Eingeklemmtwerden, Eingequetschtwerden, Eingezwängtwerden oder Hängenbleiben zwischen Gegenständen",-,"ABO",
,"Unfall durch Hebegeräte und Kraftübertragungsmaschinen, anderenorts nicht klassifiziert",-,"ABO",
,"Unfall durch scharfes Glas",-,"ABO",
,"Unfall durch Messer, Schwert oder Dolch",-,,
,"Unfall durch Handwerkzeuge ohne Kraftantrieb",-,,
,"Unfall durch Rasenmäher mit Kraftantrieb",-,"ABO",
,"Unfall durch sonstige Handwerkzeuge mit Kraftantrieb oder elektrische Haushaltsgeräte",-,,
,"Unfall durch Landmaschinen",-,"ABO",
,"Unfall durch sonstige und nicht näher bezeichnete Maschinen",-,,
,"Unfall durch Handfeuerwaffe",-,,
,"Unfall durch Gewehr, Schrotflinte und schwerere Feuerwaffe [Schußwaffe]",-,,
,"Unfall durch sonstige und nicht näher bezeichnete Feuerwaffen [Schußwaffen]",-,"ABO",
,"Explosion oder Platzen eines Kessels",-,,
,"Explosion oder Platzen einer Gasflasche",-,,
,"Explosion oder Platzen eines unter Druck stehenden Reifens, Rohres oder Schlauches",-,,
,"Explosion oder Platzen von sonstigen näher bezeichneten unter Druck stehenden Geräten",-,,
,"Abbrennen von Feuerwerkskörper(n)",-,,
,"Explosion sonstiger stofflicher Substanzen",-,,
,"Exposition gegenüber Hochdruckstrahl",-,,
,"Exposition gegenüber Lärm",-,,
,"Exposition gegenüber Vibration",-,,
,"Eindringen eines Fremdkörpers in oder durch das Auge oder eine natürliche Körperöffnung",-,,
,"Eindringen eines Fremdkörpers oder Gegenstandes durch die Haut",-,,
,"Kontakt mit einer Injektionsnadel",-,,
,"Exposition gegenüber sonstigen oder nicht näher bezeichneten unbelebten mechanischen Kräften",-,,
,"Gestoßen-, Geschlagen-, Getreten-, Gezerrt-, Gebissen- oder Gekratztwerden von einer anderen Person",-,,
,"Stoß gegen oder Zusammenprall mit eine(r) andere(n) Person",-,,
,"Gequetscht-, Gestoßen- oder Niedergetretenwerden bei Menschenansammlung oder von in Panik geratener Menschenmenge",-,,
,"Rattenbiß",-,,
,"Gebissen- oder Gestoßenwerden vom Hund",-,"ABO",
,"Gebissen- oder Gestoßenwerden von anderen Säugetieren",-,"ABO",
,"Kontakt mit Meerestier",-,,
,"Bisse oder Stiche von nichtgiftigem Insekt und sonstigen nichtgiftigen Arthropoden",-,,
,"Gebissen- oder Gestoßenwerden vom Krokodil oder Alligator",-,,
,"Gebissen- oder Gequetschtwerden von sonstigen Reptilien",-,,
,"Kontakt mit Pflanzendornen oder -stacheln oder schneidenden Blättern",-,,
,"Exposition gegenüber sonstigen oder nicht näher bezeichneten belebten mechanischen Kräften",-,,
,"Ertrinken und Untergehen in der Badewanne",-,"ABO",
,"Ertrinken und Untergehen nach Sturz in die Badewanne",-,"ABO",
,"Ertrinken und Untergehen im Schwimmbecken",-,"ABO",
,"Ertrinken und Untergehen nach Sturz ins Schwimmbecken",-,,
,"Ertrinken und Untergehen in natürlichem Gewässer",-,"ABO",
,"Ertrinken und Untergehen nach Sturz in natürliches Gewässer",-,"ABO",
,"Sonstiges näher bezeichnetes Ertrinken und Untergehen",-,,
,"Nicht näher bezeichnetes Ertrinken und Untergehen",-,"ABO",
,"Unfall durch Ersticken oder Strangulierung im Bett",-,"ABO",
,"Sonstige Unfälle durch Erhängen und Strangulierung",-,"ABO",
,"Gefährdung der Atmung durch Verschüttetwerden, herabstürzende Erdmassen oder andere Stoffe",-,"ABO",
,"Aspiration von Mageninhalt",-,"ABO",
,"Obstruktion der Atemwege durch Aspiration oder Verschlucken von Nahrungsmitteln",-,"ABO",
,"Obstruktion der Atemwege durch Aspiration oder Verschlucken von sonstigem Material",-,"ABO",
,"Eingesperrt- oder Eingeschlossensein in sauerstoffarmen Räumen",-,,
,"Sonstige näher bezeichnete Gefährdung der Atmung",-,"ABO",
,"Nicht näher bezeichnete Gefährdung der Atmung",-,"ABO",
,"Exposition gegenüber elektrischen Leitungsanlagen",-,,
,"Exposition gegenüber sonstigem näher bezeichnetem elektrischem Strom",-,"ABO",
,"Exposition gegenüber nicht näher bezeichnetem elektrischem Strom",-,,
,"Exposition gegenüber ionisierender Strahlung",-,,
,"Exposition gegenüber künstlichem sichtbarem oder ultraviolettem Licht",-,,
,"Exposition gegenüber sonstiger nichtionisierender Strahlung",-,,
,"Exposition gegenüber nicht näher bezeichneter Strahlung",-,,
,"Exposition gegenüber übermäßiger, künstlich erzeugter Hitze",-,"ABO",
,"Exposition gegenüber übermäßiger, künstlich erzeugter Kälte",-,,
,"Exposition gegenüber hohem oder niedrigem Luftdruck oder Luftdruckwechsel",-,,
,"Exposition gegenüber sonstigen oder nicht näher bezeichneten künstlichen Umweltfaktoren",-,,
,"Exposition gegenüber nicht unter Kontrolle stehendem Feuer in Gebäuden oder Bauwerken",-,"ABO",
,"Exposition gegenüber nicht unter Kontrolle stehendem Feuer außerhalb von Gebäuden oder Bauwerken",-,,
,"Exposition gegenüber unter Kontrolle stehendem Feuer in Gebäuden oder Bauwerken",-,,
,"Exposition gegenüber unter Kontrolle stehendem Feuer außerhalb von Gebäuden oder Bauwerken",-,,
,"Exposition gegenüber Entzündung von feuergefährlichem Material",-,"ABO",
,"Exposition gegenüber Entzündung oder Schmelzen von Nachtwäsche",-,,
,"Exposition gegenüber Entzündung oder Schmelzen sonstiger Bekleidungs- oder Schmuckstücke",-,,
,"Exposition gegenüber sonstige(m)(n) näher bezeichnete(m)(n) Rauch, Feuer oder Flammen",-,,
,"Exposition gegenüber nicht näher bezeichnete(m)(n) Rauch, Feuer oder Flammen",-,"ABO",
,"Verbrennung oder Verbrühung durch heiße Getränke, Speisen, Fette oder Speiseöle",-,,
,"Verbrühung durch heißes Leitungswasser",-,,
,"Verbrühung durch sonstige heiße Flüssigkeiten",-,,
,"Verbrühung durch Wasserdampf oder heiße Dämpfe",-,,
,"Verbrennung durch heiße Luft oder heiße Gase",-,"ABO",
,"Verbrennung durch heiße Haushaltsgeräte",-,,
,"Verbrennung durch heiße Heizgeräte, Heizkörper oder Rohrleitungen",-,,
,"Verbrennung durch heiße Motoren, Maschinen oder Werkzeuge",-,,
,"Verbrennung durch sonstige heiße Metalle",-,,
,"Verbrennung oder Verbrühung durch sonstige oder nicht näher bezeichnete Hitze oder heiße Substanzen",-,"ABO",
,"Kontakt mit giftigen Schlangen oder Echsen",-,,
,"Kontakt mit giftigen Spinnen",-,,
,"Kontakt mit Skorpionen",-,,
,"Kontakt mit Hornissen, Wespen oder Bienen",-,"ABO",
,"Kontakt mit Hundertfüßern oder giftigen Tausendfüßern (tropisch)",-,,
,"Kontakt mit sonstigen näher bezeichneten giftigen Arthropoden",-,,
,"Kontakt mit giftigen Meerestieren oder -pflanzen",-,,
,"Kontakt mit sonstigen näher bezeichneten giftigen Tieren",-,,
,"Kontakt mit sonstigen näher bezeichneten giftigen Pflanzen",-,,
,"Kontakt mit nicht näher bezeichneten giftigen Pflanzen oder Tieren",-,,
,"Exposition gegenüber übermäßiger natürlicher Hitze",-,"ABO",
,"Exposition gegenüber übermäßiger natürlicher Kälte",-,"ABO",
,"Exposition gegenüber Sonnenlicht",-,,
,"Opfer von Blitzschlag",-,"ABO",
,"Opfer von Erdbeben",-,,
,"Opfer von Vulkanausbruch",-,,
,"Opfer von Lawine, Erdrutsch oder anderen Erdoberflächenbewegungen",-,"ABO",
,"Opfer von Sturmkatastrophe",-,,
,"Opfer von Überschwemmung",-,,
,"Exposition gegenüber sonstigen oder nicht näher bezeichneten Naturkräften",-,,
,"Akzidentelle Vergiftung durch und Exposition gegenüber nichtopioidhaltige(n) Analgetika, Antipyretika und Antirheumatika",-,"ABO",
,"Akzidentelle Vergiftung durch und Exposition gegenüber Antiepileptika, Sedativa, Hypnotika, Antiparkinsonmitteln und psychotropen Substanzen, anderenorts nicht klassifiziert",-,,
,"Akzidentelle Vergiftung durch und Exposition gegenüber Betäubungsmittel(n) und Psychodysleptika [Halluzinogene(n)], anderenorts nicht klassifiziert",-,"ABO",
,"Akzidentelle Vergiftung durch und Exposition gegenüber sonstige(n) Arzneimittel(n) mit Wirkung auf das autonome Nervensystem",-,,
,"Akzidentelle Vergiftung durch und Exposition gegenüber sonstige(n) nicht näher bezeichnete(n) Arzneimittel(n), Drogen und biologisch aktive(n) Substanzen",-,"ABO",
,"Akzidentelle Vergiftung durch und Exposition gegenüber Alkohol",-,"ABO",
,"Akzidentelle Vergiftung durch und Exposition gegenüber organische(n) Lösungsmittel(n) und halogenierte(n) Kohlenwasserstoffe(n) und deren Dämpfe(n)",-,,
,"Akzidentelle Vergiftung durch und Exposition gegenüber sonstige(n) Gase(n) und Dämpfe(n)",-,"ABO",
,"Akzidentelle Vergiftung durch und Exposition gegenüber Schädlingsbekämpfungsmittel(n) [Pestizide(n)]",-,,
,"Akzidentelle Vergiftung durch und Exposition gegenüber sonstige(n) und nicht näher bezeichnete(n) Chemikalien und schädliche(n) Substanzen",-,"ABO",
,"Überanstrengung und anstrengende oder wiederholte Bewegungen",-,,
,"Reisen und passive Fortbewegung",-,,
,"Längerer Aufenthalt in Schwerelosigkeit",-,,
,"Nahrungsmangel",-,,
,"Wassermangel",-,,
,"Nicht näher bezeichnete Entbehrung",-,,
,"Exposition gegenüber sonstigen näher bezeichneten Faktoren",-,,
,"Exposition gegenüber nicht näher bezeichnetem Faktor",-,"ABO",
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber nichtopioidhaltige(n) Analgetika, Antipyretika und Antirheumatika",-,,
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber Antiepileptika, Hypnotika, Antiparkinsonmittel(n) und psychotrope(n) Substanzen, anderenorts nicht klassifiziert",-,"ABO",
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber Betäubungsmittel(n) und Psychodysleptika [Halluzinogene(n)], anderenorts nicht klassifiziert",-,"ABO",
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber sonstige(n) Arzneimittel(n) mit Wirkung auf das autonome Nervensystem",-,,
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber sonstige(n) und nicht näher bezeichnete(n) Arzneimittel(n), Drogen und biologisch aktive(n) Substanzen",-,"ABO",
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber Alkohol",-,,
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber organische(n) Lösungsmittel(n) oder halogenierte(n) Kohlenwasserstoffe(n) und deren Dämpfe(n)",-,"ABO",
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber sonstige(n) Gase(n) und Dämpfe(n)",-,"ABO",
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber Schädlingsbekämpfungsmittel(n) [Pestizide(n)]",-,,
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber sonstige(n) oder nicht näher bezeichnete(n) Chemikalien und schädliche(n) Substanzen",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch Erhängen, Strangulierung oder Ersticken",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch Ertrinken und Untergehen",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch Handfeuerwaffe",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch Gewehr, Schrotflinte oder schwerere Feuerwaffe [Schußwaffe]",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch sonstige oder nicht näher bezeichnete Feuerwaffe [Schußwaffe]",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch Explosivstoffe",-,,
,"Vorsätzliche Selbstbeschädigung durch Rauch, Feuer und Flammen",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch Wasserdampf, heiße Dämpfe oder heiße Gegenstände",-,,
,"Vorsätzliche Selbstbeschädigung durch scharfen Gegenstand",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch stumpfen Gegenstand",-,,
,"Vorsätzliche Selbstbeschädigung durch Sturz in die Tiefe",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch Sichwerfen oder Sichlegen vor ein sich bewegendes Objekt",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch absichtlich verursachten Kraftfahrzeugunfall",-,"ABO",
,"Vorsätzliche Selbstbeschädigung auf sonstige näher bezeichnete Art und Weise",-,"ABO",
,"Vorsätzliche Selbstbeschädigung auf nicht näher bezeichnete Art und Weise",-,"ABO",
,"Tätlicher Angriff mit Arzneimitteln, Drogen oder biologisch aktiven Substanzen",-,,
,"Tätlicher Angriff mit ätzender Substanz",-,,
,"Tätlicher Angriff mit Schädlingsbekämpfungsmitteln [Pestizide]",-,,
,"Tätlicher Angriff mit Gasen oder Dämpfen",-,,
,"Tätlicher Angriff mit sonstigen näher bezeichneten Chemikalien oder schädlichen Substanzen",-,,
,"Tätlicher Angriff mit nicht näher bezeichneter Chemikalie oder schädlicher Substanz",-,,
,"Tätlicher Angriff durch Erhängen, Strangulierung oder Ersticken",-,"ABO",
,"Tätlicher Angriff durch Ertränken",-,,
,"Tätlicher Angriff mit Handfeuerwaffe",-,,
,"Tätlicher Angriff mit Gewehr, Schrotflinte oder schwererer Feuerwaffe [Schußwaffe]",-,,
,"Tätlicher Angriff mit sonstiger oder nicht näher bezeichneter Feuerwaffe [Schußwaffe]",-,"ABO",
,"Tätlicher Angriff mit Explosivstoffen",-,,
,"Tätlicher Angriff mit Rauch, Feuer und Flammen",-,,
,"Tätlicher Angriff mit Wasserdampf, heißen Dämpfen oder heißen Gegenständen",-,,
,"Tätlicher Angriff mit scharfem Gegenstand",-,"ABO",
,"Tätlicher Angriff mit stumpfem Gegenstand",-,"ABO",
,"Tätlicher Angriff mit Stoß in die Tiefe",-,,
,"Tätlicher Angriff mit Stoßen oder Legen des Opfers vor ein sich bewegendes Objekt",-,,
,"Tätlicher Angriff durch vorsätzlich verursachten Kraftfahrzeugunfall",-,"ABO",
,"Tätlicher Angriff mit körperlicher Gewalt",-,"ABO",
,"Notzucht unter körperlicher Gewaltanwendung",-,,
,"Vernachlässigung und Verlassen",-,,
,"Sonstige Arten der Mißhandlung",-,"ABO",
,"Tätlicher Angriff auf sonstige näher bezeichnete Art und Weise",-,"ABO",
,"Tätlicher Angriff auf nicht näher bezeichnete Art und Weise",-,"ABO",
,"Vergiftung durch und Exposition gegenüber nichtopioidhaltige(n) Analgetika, Antipyretika und Antirheumatika, Umstände unbestimmt",-,"ABO",
,"Vergiftung durch und Exposition gegenüber Antiepileptika, Sedativa, Hypnotika, Antiparkinsonmittel(n) und psychotrope(n) Substanzen, anderenorts nicht klassifiziert, Umstände unbestimmt",-,"ABO",
,"Vergiftung durch und Exposition gegenüber Betäubungsmittel(n) und Psychodysleptika [Halluzinogene(n)], anderenorts nicht klassifiziert, Umstände unbestimmt",-,"ABO",
,"Vergiftung durch und Exposition gegenüber sonstige(n) Arzneimittel(n) mit Wirkung auf das autonome Nervensystem, Umstände unbestimmt",-,,
,"Vergiftung durch und Exposition gegenüber sonstige(n) und nicht näher bezeichnete(n) Arzneimittel(n), Drogen und biologisch aktive(n) Substanzen, Umstände unbestimmt",-,"ABO",
,"Vergiftung durch und Exposition gegenüber Alkohol, Umstände unbestimmt",-,"ABO",
